title,rating,rating_count,status,view,genres
"Cheat Skill ""Shisha Sosei"" ga Kakusei Shite, Inishie no Maougun wo Fukkatsu Sasete Shimaimashita",1.8,71,Ongoing,12276,"['Action', 'Drama', 'Fantasy', 'Adventure']"
Only I can choose as many S-class rare items and broken skills as I want with the awakened [Schrodinger's cat]!,2,2,Ongoing,3085,"['Comedy', 'Fantasy', 'Adventure', 'Manga']"
Baski,3.9,4,Ongoing,5062,"['Manhwa', 'Mystery', 'Supernatural']"
The Struggle of the (Temporary) Villainess. I Realized I’ve Reincarnated Into Another World So I’ll Break off the Engagement and Find My Soulmate,5,1,Ongoing,1917,"['Fantasy', 'Romance']"
Rendezvous,5,2,Ongoing,15226,"['Action', 'Drama', 'Manhwa', 'Sci-fi']"
Invincible After a Hundred Years of Seclusion,2.7,127,Ongoing,63240,"['Action', 'Fantasy', 'Manhua', 'Martial Arts', 'Adventure', 'Isekai']"
"Born with the Weakest Job, I Worked My Hardest to Become the Strongest Tamer with the Weakest Skill: Fist Punch!",2.6,117,Ongoing,14633,"['Action', 'Fantasy', 'Manga', 'Martial Arts', 'Shounen', 'Adventure']"
"Ochikobore Datta Ani Ga Jitsuha Saikyou: Shijou Saikyou No Yuusha Wa Tensei-shi, Gakuen De Mujikaku Ni Musou Suru",2.1,31,Ongoing,20354,"['Romance', 'Shounen', 'Slice of Life', 'Isekai', 'Manga']"
Reincarnation into the Barrier Master,3.1,6,Ongoing,8290,"['Action', 'Comedy', 'Fantasy', 'Romance', 'Tragedy']"
"I went from the strongest job, &lt;Dragon Knight&gt;, to a beginner level job, &lt;Carrier&gt;, yet for some reason the Heroes rely on me",4,3,Ongoing,2803,"['Action', 'Fantasy', 'Romance']"
Returned as a Martial Genius,2.4,93,Ongoing,5671,"['Action', 'Drama', 'Fantasy', 'Martial Arts', 'Shounen']"
Sousei No Taiga,2.4,72,Ongoing,11808,"['Action', 'Drama', 'Historical', 'Martial Arts', 'Mature', 'Mystery', 'Seinen', 'Supernatural']"
Yuze's Record of Mountains and Seas,5,1,Ongoing,744,"['Action', 'Drama', 'Fantasy', 'Historical', 'Manhua', 'Martial Arts']"
I was Stuck on the Same Day for One Hundred Thousand Years,2.6,28,Ongoing,6001,"['Action', 'Fantasy', 'Harem', 'Manhua', 'Martial Arts', 'Adventure']"
The Star of a Supreme Ruler,2.6,415,Ongoing,39515,"['Action', 'Manhwa', 'Shounen']"
Apocalyptic Survival: I Can See Hidden Clues,2.8,113,Ongoing,3627,"['Action', 'Drama', 'Fantasy', 'Manhua', 'Adventure']"
A bellicose lady got reincarnated!? ~It’s an impossibly hard game where I would die if I don’t fall in love,5,1,Ongoing,1624,"['Drama', 'Fantasy', 'Romance', 'Shoujo']"
Japan Summons,2.7,73,Ongoing,13591,['Manga']
Solar Eclipse,2.7,12,Ongoing,11684,"['Drama', 'Psychological', 'Romance', 'Yaoi']"
Incoming Mr High Energy,2.2,35,Ongoing,14960,"['Action', 'Fantasy', 'Manhua', 'Webtoon']"
Black Cl0ver,1.4,4,Ongoing,9730,"['Action', 'Adult', 'Comedy', 'Fantasy', 'Shounen', 'Supernatural']"
Young Marshal! Your Wife Wants To Overthrow Heaven!,3,5,Ongoing,1317,"['Comedy', 'Drama', 'Romance']"
Art Shuttle,5,1,Ongoing,484,"['Action', 'Manhwa', 'School Life', 'Webtoon']"
"The Shaman, Baek Cheoyong",1,1,Ongoing,1310,"['Drama', 'Fantasy', 'Manhwa', 'Shounen', 'Supernatural']"
Advent Life Revision,3.2,4,Ongoing,502,"['Action', 'Comedy', 'Fantasy']"
Regressing with the Kings Power,2.6,2043,Ongoing,89138,"['Fantasy', 'Adventure']"
Pretend to be invincible in the world,2.6,6,Ongoing,1483,"['Action', 'Manhua']"
"You Like Me (Mama), Not My Daughter!?",2.4,150,Ongoing,32703,"['Comedy', 'Ecchi', 'Romance', 'Slice of Life']"
My Wife is a Little Scary,2.7,101,Ongoing,10190,"['Comedy', 'Ecchi', 'Romance', 'Seinen', 'Slice of Life']"
Berserk of Gluttony [Webtoon],2.7,23,Ongoing,11720,"['Action', 'Drama', 'Fantasy', 'Harem', 'Romance', 'Adventure']"
The Many Weaknesses of Ayaka the Yankee JK,2.9,6,Ongoing,8566,"['Comedy', 'Romance', 'School Life', 'Slice of Life']"
'I AM MOM',2.8,13,Ongoing,11932,"['Action', 'Drama', 'Manhwa', 'Adventure']"
My Girlfriend is a Futon Girl,3.7,3,Ongoing,379,"['Romance', 'Slice of Life']"
Feng · Jin Shen Lu,5,1,Ongoing,660,"['Action', 'Comedy', 'Manhua']"
Ferocious Player,2.6,10,Ongoing,1152,['Manhua']
I Shall Conquer the Unruly Beasts,5,1,Ongoing,18,"['Drama', 'Fantasy', 'Historical', 'Romance']"
On The Emperors Lap,2.8,2,Ongoing,1520,"['Fantasy', 'Josei', 'Manhwa', 'Romance', 'Shoujo', 'Sports']"
Capricious Valpurgis,5,2,Ongoing,590,"['Ecchi', 'Fantasy', 'Slice of Life', 'Supernatural']"
The Seductive Wife,3.6,6,Ongoing,268,"['Drama', 'Mature', 'Romance']"
Demon Blade,3.6,11,Ongoing,10997,"['Action', 'Manhua', 'Martial Arts']"
Super Spendthrift,2.4,16,Ongoing,8841,"['Comedy', 'Manhua']"
Book Eater,2.5,169,Ongoing,53461,"['Manhwa', 'Sci-fi']"
I Become a fool when it comes to my Daughter,2.9,156,Ongoing,44656,"['Comedy', 'Drama', 'Manhwa', 'Seinen', 'Slice of Life']"
Muscle Mage,3,306,Ongoing,9578,"['Action', 'Drama', 'Fantasy', 'Manhwa']"
Out (Makoto Mizuta),2.8,23,Ongoing,8562,"['Action', 'Adult']"
Can See Can Hear But Love,3,7,Completed,2271,"['Comedy', 'Drama', 'Manhwa', 'Romance', 'Slice of Life', 'Tragedy']"
I Became the Villainess in an Anticlimactic Novel,2.4,50,Ongoing,12799,"['Comedy', 'Drama', 'Fantasy', 'Manhwa', 'Romance']"
Cryptocurrency Revenge,2.3,19,Ongoing,8960,"['Action', 'Drama', 'Manhwa', 'Seinen']"
Love Is Blind,5,1,Ongoing,251,"['Action', 'Comedy', 'Romance']"
Uesugi Kenshin,0,1,Ongoing,267,"['Action', 'Drama', 'Historical']"
Absolute Resonance,2.7,59,Ongoing,17970,['Manhua']
"The Only New Game+ Hardcore Gamer ~I’m so Overpowered, I Shattered the Game’s Balance~",2.7,126,Ongoing,5934,"['Action', 'Comedy', 'Shounen', 'Adventure']"
"From Now On, Romance",5,2,Ongoing,6160,"['Drama', 'Fantasy', 'Manhwa', 'Romance']"
"Keiken Zumi na Kimi to, Keiken Zero na Ore ga, Otsukiai Suru Hanashi",2.3,55,Ongoing,11308,"['Comedy', 'Romance', 'School Life']"
The Morning Doctor and the Evening Witch,2.7,40,Ongoing,1621,"['Ecchi', 'Shounen']"
You've never met a Villainess like me,2.7,6,Ongoing,6268,"['Drama', 'Manhwa']"
Kyou No Cerberus,1,1,Ongoing,449,"['Action', 'Comedy', 'Harem', 'Romance', 'School Life', 'Slice of Life', 'Supernatural']"
Counter Cube,3.1,31,Ongoing,5588,"['Action', 'Manhwa']"
Debt Butler Jack Of A Marquis Signorina Emilia,5,1,Ongoing,2908,"['Comedy', 'Romance']"
Neither God Nor I,3,1,Ongoing,401,"['Action', 'Drama', 'Fantasy', 'Horror', 'Manhua', 'Shounen', 'Supernatural']"
Restoring the Heavenly Palace,2.7,5,Ongoing,1100,"['Action', 'Fantasy', 'Manhua', 'Martial Arts', 'Adventure']"
Metropolitan City's Ying Yang Miracle Doctor,3.1,12,Ongoing,2178,"['Action', 'Martial Arts', 'Romance', 'Shounen', 'Supernatural']"
Ming Dynasty&#x27;s Failure,5,1,Ongoing,450,"['Action', 'Comedy', 'Manhua']"
Soukyuu no Shihai-sha ~ Isekai Oppai Musouden,2.3,3,Ongoing,4356,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Romance']"
I BECAME A TERMINALLY-ILL KNIGHT,2.5,676,Ongoing,40493,"['Action', 'Fantasy', 'Manhwa', 'Adventure']"
Martial Arts Reigns,2.8,58,Ongoing,43461,"['Fantasy', 'Manhua']"
Gundaddy Immortal,2.4,7,Ongoing,1862,"['Comedy', 'Harem', 'Manhua', 'Martial Arts']"
Darkness and Death,2.5,3,Ongoing,953,"['Action', 'Fantasy', 'Manhwa', 'Supernatural']"
A Classmate with a Specific Future Goal,3.5,2,Ongoing,475,"['Comedy', 'Romance', 'School Life']"
The Frontier Life of The Low-Class Ossan Healer And The Lovery Girl,2.5,2,Ongoing,2579,"['Action', 'Comedy', 'Fantasy', 'Harem', 'Adventure']"
I Dominate The Game,2.9,4,Ongoing,1139,"['Action', 'Fantasy', 'Harem', 'Manhua', 'Martial Arts', 'Shounen Ai', 'Webtoon', 'Adventure']"
Yankee Wa Isekai De Seirei Ni Aisaremasu,3.2,4,Ongoing,2798,"['Comedy', 'Fantasy']"
Rasud,3.1,27,Ongoing,3673,"['Action', 'Fantasy', 'Manhwa']"
The Youngest Child of the Family Is Preventing the World From Ending,2.6,22,Ongoing,826,"['Drama', 'Fantasy', 'Manhwa', 'Romance', 'Slice of Life']"
Here Comes the Godly Emperor: I Have Billions of Attribute Points,2.7,73,Ongoing,18378,"['Action', 'Drama', 'Fantasy', 'Manhua', 'Martial Arts']"
"The ex-janitor who was expelled, became known as the ""greatest repairman"" with his exceptional skills - Requests from SSS rank parties and royalty don't stop coming",2.4,151,Ongoing,7833,"['Fantasy', 'Adventure']"
Super School Doctor,3,26,Ongoing,13627,"['Drama', 'Ecchi', 'Harem', 'Manhua', 'School Life']"
A City Called Nowhere,2,15,Ongoing,2909,['Horror']
Is There a Problem if the Demon King is a Goblin?!,2.5,2,Ongoing,1210,"['Action', 'Fantasy', 'Manhwa']"
The Always Losing General has Fallen Again,2.9,7,Ongoing,2941,"['Action', 'Fantasy']"
When the Villainess Loves,3.1,22,Ongoing,10342,"['Manhwa', 'Romance', 'Webtoon']"
I’m The Only One With Genius DNA,2.4,60,Ongoing,17894,['Manhwa']
Rise of the Puppeteer,1,1,Ongoing,1820,"['Fantasy', 'Manga', 'Adventure']"
29-sai Dokushin wa Isekai de Jiyuu ni Ikita……katta,2.3,32,Ongoing,13135,"['Action', 'Fantasy', 'Romance']"
"I Have a Second Chance at Life, so I’ll Pamper My Yandere Boyfriend for a Happy Ending!!",2.5,35,Ongoing,6024,"['Comedy', 'Drama', 'Mystery', 'Romance', 'School Life']"
The Betrayed Hero Who Was Reincarnated as the Strongest Demon Lord,2.3,46,Ongoing,15651,"['Action', 'Drama', 'Fantasy', 'Harem', 'Manga']"
"The Former Hero was Called as a Failure and Expelled From His Home, Decided to Live on His Own",2.7,81,Ongoing,8810,"['Action', 'Fantasy', 'Harem', 'Shounen']"
Retired Demon King,2.6,396,Ongoing,22263,['Manhwa']
The Noble Girl With a Crush on a Plain and Studious Guy Finds the Arrogant Prince to Be a Nuisance,3.5,23,Ongoing,5411,"['Comedy', 'Drama', 'Fantasy', 'Romance']"
Free in Dreams,3.5,13,Ongoing,7603,"['Manhwa', 'Romance', 'School Life']"
I&#x27;ll Save This Damn Family!,5,1,Ongoing,973,"['Comedy', 'Romance']"
Yona Yona Yona,0.2,2,Ongoing,2325,['Action']
"I went from the strongest job, , to a beginner level job, , yet for some reason the Heroes rely on me",2,63,Ongoing,10656,"['Action', 'Fantasy', 'Romance', 'Adventure']"
Super Player,2.5,16,Ongoing,7644,['Manhua']
The Emperors Mask,2.3,3,Ongoing,648,"['Fantasy', 'Manhwa', 'Romance', 'Shoujo']"
Exclusive Furnace of Future Empresses,3.2,9,Ongoing,3396,"['Fantasy', 'Harem', 'Manhua', 'Martial Arts', 'Supernatural']"
Pieces: The Return to Vengeance,5,1,Ongoing,1472,['Fantasy']
An Otome Game’s Burikko Villainess Turned Into a Magic Otaku,4.8,2,Ongoing,1966,"['Comedy', 'Fantasy', 'Romance']"
Pain Killer [Remake],5,1,Ongoing,597,['Manhua']
Forged Immortal,2.6,106,Ongoing,3453,"['Action', 'Comedy']"
Murabito Desu Ga Nani Ka?,1.8,11,Ongoing,9334,"['Action', 'Drama', 'Fantasy', 'Romance', 'Shounen']"
Santa Industries,2.7,43,Ongoing,2301,"['Action', 'Fantasy', 'Manhwa', 'Shounen', 'Supernatural']"
Koujo Denka No Kateikyoushi,4.8,3,Ongoing,2744,"['Comedy', 'Fantasy', 'Shounen', 'Slice of Life']"
Kaguhara's Fetish Notebook,2.4,14,Ongoing,3818,"['Comedy', 'School Life']"
Shikabanechou Undead,1.2,2,Ongoing,563,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Sci-fi']"
Pretty peasant girl,5,1,Ongoing,884,"['Action', 'Comedy', 'Romance', 'Slice of Life']"
TACIT,2.4,41,Ongoing,14306,"['Action', 'Drama', 'Manhwa', 'Sci-fi']"
A Banished Failure Survives in the Borderland and Becomes an S-Ranked Exorcist,1.6,12,Ongoing,17393,"['Action', 'Ecchi', 'Fantasy', 'Shounen']"
Mushoku Tensei - Depressed Magician Arc,2.2,38,Ongoing,12219,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Slice of Life', 'Adventure', 'Isekai', 'Manga']"
"I, Who Took the Demon's Script, Lost All My Cultivation And Am Being Hunted by Female Disciples?!",2.7,133,Ongoing,6245,"['Action', 'Drama', 'Fantasy', 'Harem', 'Manhua']"
Infinity Mailman,2.1,9,Ongoing,4273,"['Action', 'Manhua', 'Mystery']"
Keppeki joou no Yarikaeshi,0.5,3,Ongoing,6470,"['Action', 'Fantasy']"
Study Group,2.5,165,Ongoing,43869,"['Drama', 'Manhwa', 'Martial Arts', 'School Life', 'Shounen', 'Adventure']"
A Life Changing Turns,2.2,59,Ongoing,2002,"['Drama', 'Mystery', 'Psychological', 'School Life', 'Seinen']"
Fushi no Kami: Rebuilding Civilization Starts with a Village,2.5,39,Ongoing,6922,"['Comedy', 'Fantasy', 'Romance', 'Slice of Life']"
Miss Not-So Sidekick,2,4,Ongoing,1931,"['Fantasy', 'Manhwa', 'Romance', 'Shoujo']"
"I, The Invincible Villain Master With My Apprentices",2.6,148,Ongoing,43976,"['Action', 'Comedy', 'Fantasy', 'Harem', 'Manhua', 'Martial Arts', 'Mystery', 'Supernatural', 'Webtoon', 'Adventure']"
Rebirth Of The Almighty Cultivator,2.4,16,Ongoing,25128,"['Action', 'Fantasy', 'Historical', 'Manhua']"
The Dark Queen And I Strike Back,2.4,13,Ongoing,6173,"['Action', 'Ecchi', 'Fantasy', 'Shounen']"
Since The Red Moon Appeared,2.3,150,Ongoing,23117,"['Action', 'Drama', 'Fantasy', 'Harem', 'Manhua', 'Supernatural', 'Adventure']"
The Devil’s Descendants,2.8,16,Completed,8208,"['Action', 'Drama', 'Manhwa']"
Me And My 26 Year Old Female Tenants,2.7,7,Ongoing,1372,"['Comedy', 'Drama', 'Manhua', 'Romance']"
Ousama Ranking,2,22,Ongoing,11333,"['Comedy', 'Fantasy', 'Shounen']"
Everyone Regressed Except Me,2.6,164,Ongoing,26317,"['Action', 'Fantasy', 'Martial Arts']"
This Is An Obvious Fraudulent Marriage,4,5,Ongoing,3828,"['Manhwa', 'Romance']"
The Last Sage of the Imperial Sword Academy,3.1,8,Ongoing,17222,"['Action', 'Comedy', 'Fantasy', 'Harem', 'Adventure']"
Ash Grim Reaper and Immortal Cat,2.6,20,Ongoing,1502,"['Action', 'Fantasy']"
Top 1 Fighting Tutoring,2.4,68,Ongoing,1699,"['Manhwa', 'Martial Arts', 'School Life']"
Dragon Ball Shippuden,2.4,83,Ongoing,8699,"['Action', 'Manga', 'Martial Arts']"
The Obsessive Second Male Lead Has Gone Wild,3.5,11,Ongoing,10488,"['Fantasy', 'Manhwa', 'Romance', 'Webtoon']"
Supreme Demon Return,2.2,78,Ongoing,13405,"['Action', 'Fantasy', 'Manhua', 'Martial Arts', 'Adventure']"
Transformed Into A Piece Of Land,2.5,162,Ongoing,5185,"['Action', 'Ecchi', 'Fantasy']"
Another World Munchkin -Conquering the Dungeon as the Strongest and the Fastest with Only 1 HP,2.4,88,Ongoing,17239,"['Action', 'Fantasy']"
Secret Lady,2.4,20,Ongoing,13571,"['Manhwa', 'Mystery', 'Romance']"
Relentlessly Approaching the Poison-Tongued and Indifferent Beauty to Tickle the Cutesy Reactions out of her,2.5,3,Ongoing,4528,"['Comedy', 'Romance']"
Save & Load no Dekiru Yadoya-san,0,1,Ongoing,1646,"['Action', 'Fantasy', 'Isekai']"
Dappou Tamer no Nariagari Boukentan ~S Rank Bishoujo Boukensha ga Ore no Juuma ni Natteimasu~,2.5,102,Ongoing,17894,"['Action', 'Adult', 'Comedy', 'Fantasy', 'Romance', 'Seinen', 'Adventure']"
Villainess Level 99 ~I May Be the Hidden Boss but I&#x27;m Not the Demon Lord~,3.5,4,Ongoing,5215,['Fantasy']
This is the Law,2.2,276,Ongoing,52912,"['Action', 'Drama', 'Manhwa']"
A story about an office lady getting attached to a Yankee high school boy she met at an arcade,3.6,4,Ongoing,1350,"['Comedy', 'Romance']"
Dosanko Gyaru Is Mega Cute,1.9,58,Ongoing,8979,"['Comedy', 'Romance', 'Slice of Life']"
Rebirth Meeting: For You and My Exclusive Lovers,2.4,22,Ongoing,5139,"['Manhua', 'Romance']"
My Teacher-Girlfriend,2.7,26,Ongoing,7811,"['Comedy', 'Drama', 'Ecchi', 'Romance', 'School Life', 'Slice of Life']"
Evolution In The Flood,2.5,18,Ongoing,3235,"['Action', 'Fantasy', 'Manhua']"
I Stole The Male Lead's First Night,3.2,2,Ongoing,2325,"['Comedy', 'Fantasy', 'Romance']"
Starting From Today I&#x27;ll Work As A City Lord,2,11,Ongoing,2635,"['Comedy', 'Fantasy', 'Shounen']"
Kawasemi&#x27;s Fishing and Cooking,5,1,Ongoing,578,"['Comedy', 'Cooking', 'Slice of Life']"
Tribulations of Myriad Clans,2.8,155,Ongoing,9339,"['Action', 'Fantasy', 'Horror', 'Manhua', 'Martial Arts', 'Sci-fi', 'Supernatural', 'Adventure']"
F-Class Destiny Hunter,2.6,629,Ongoing,81485,"['Action', 'Fantasy', 'Manhwa', 'Adventure']"
To You Who Never Loved Me,2.7,72,Ongoing,4460,"['Fantasy', 'Manhwa', 'Romance']"
I actually recognize the ancient gods,0,1,Ongoing,5270,['Manhua']
Monster in the Greenhouse,3.2,2,Ongoing,574,"['Drama', 'Manhwa', 'Romance', 'Tragedy']"
ARGATE ONLINE,2.2,14,Ongoing,2585,"['Action', 'Fantasy', 'Supernatural']"
Nightmare Game,5,1,Ongoing,293,['Manhua']
Worst Gaiden Saburoku Santa,5,1,Ongoing,909,"['Action', 'Drama']"
"Nise Seijo!? Mira no Boukentan - Tsuihousaremashita ga, Jitsu wa Saikyou na no de Second Life wo Tanoshimimasu!",3.3,5,Ongoing,487,"['Comedy', 'Drama', 'Fantasy', 'Romance', 'Adventure']"
"Tsuihou no Kenja, Sekai wo Shiru ~Osanajimi Yuusha no Atsuryoku kara Nigete Jiyuu ni Natta Ore~",3,26,Ongoing,8082,"['Action', 'Comedy', 'Fantasy', 'Harem', 'Shounen']"
The Strongest Characters in the World are Obsessed With Me,2.9,17,Ongoing,22360,"['Fantasy', 'Manhwa', 'Romance', 'Shoujo']"
The Predatory Marriage Between the King and the Paladin,1.6,5,Ongoing,4312,"['Action', 'Drama', 'Historical', 'Manhwa', 'Romance']"
Please Stop Summoning Me!,2.5,77,Ongoing,18626,"['Action', 'Fantasy', 'Mystery', 'Romance', 'Supernatural', 'Adventure']"
An Oldman in Counterworld,2.5,66,Ongoing,8204,"['Action', 'Fantasy']"
The Hero Who Returned Remains the Strongest in the Modern World,2.8,39,Ongoing,21171,"['Action', 'Ecchi', 'Fantasy', 'Harem', 'Manga', 'Shounen']"
Maseki Gurume: Mamono no Chikara o Tabeta Ore wa Saikyou!,2.6,97,Ongoing,18739,"['Action', 'Fantasy']"
Mamono wo Shitagaeru &quot;Teiin&quot; wo Motsu Tensei Kenjya~ Katsute no Maho to Jyuma de Hissori Saikyo no Bokensha ninaru~,3,1,Ongoing,2814,"['Action', 'Comedy', 'Drama', 'Fantasy']"
Heavenly Demon Bakery,3.5,25,Ongoing,22529,"['Action', 'Cooking', 'Manhwa', 'Martial Arts', 'Adventure']"
I am the Rising Villain,3,134,Ongoing,4775,"['Action', 'Fantasy', 'Manhua', 'Adventure']"
Reincarnator (Manhwa),2.7,974,Ongoing,35972,"['Action', 'Fantasy', 'Manhwa', 'Adventure']"
Reverse Tower Dungeon,4.1,4,Ongoing,4020,"['Action', 'Fantasy', 'Manhwa', 'Supernatural', 'Adventure']"
Alice in Borderland RETRY,5,1,Ongoing,1716,"['Action', 'Manga', 'Psychological']"
I Took Over The System Players,2.6,174,Ongoing,5421,"['Action', 'Fantasy', 'Adventure']"
BLACK LORENG [In The Dark World],2.8,3,Ongoing,1061,"['Action', 'Fantasy']"
Luciole wa Yume wo Miru,5,1,Ongoing,499,"['Fantasy', 'Sci-fi', 'Shoujo']"
Double Click,2.6,189,Ongoing,32680,"['Action', 'Manhwa']"
Hyouketsukei Koso Saikyou desu! – Chiisakute Kawaii Shishou to Kekkon suru Tame ni Saikyou no Majutsushi wo Mezashimasu,3.5,9,Ongoing,763,"['Action', 'Comedy', 'Fantasy', 'Adventure']"
The Creatures that We Are,3.5,3,Ongoing,304,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Horror']"
May I Please Ask You Just One Last Thing?,3.2,12,Ongoing,6764,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Romance']"
Capture the Golem and Escape Poverty,1.8,23,Ongoing,2922,"['Action', 'Fantasy', 'Manhwa', 'Sci-fi']"
Human Mask,2.6,62,Ongoing,2785,"['Drama', 'Fantasy', 'Manhwa', 'Adventure']"
I Returned as an FFF-Class Witch Doctor,2.8,461,Ongoing,66340,"['Action', 'Fantasy', 'Manhwa', 'Adventure']"
Welcome to the Impregnable Demon King Castle ~The Black Mage Who Got Kicked Out of the Hero Party Due to His Unnecessary Debuffs Gets Welcomed by the Top Brass of the Demon King's Army~,2.3,63,Ongoing,14567,"['Action', 'Drama', 'Fantasy', 'Adventure']"
I Have A Dragon's Heart,0,1,Ongoing,1350,"['Drama', 'Fantasy', 'Manhwa', 'Romance', 'Shoujo']"
Killer Stall,2.7,8,Ongoing,1345,"['Action', 'Drama', 'Manhwa', 'Psychological', 'Seinen', 'Tragedy']"
Jujutsu Kaisen (Fix),2.7,91,Ongoing,10444,"['Action', 'Shounen', 'Supernatural']"
Preview,2,100,Ongoing,3424,"['Action', 'Drama', 'Manhwa', 'School Life', 'Shounen']"
King of the Labyrinth,2.6,38,Ongoing,7047,"['Action', 'Manga']"
My Reason to Die,3.1,14,Ongoing,5121,"['Drama', 'Josei', 'Psychological', 'Romance', 'Manhwa']"
REDO OF HEALER,2.4,141,Ongoing,30492,"['Action', 'Adult', 'Drama', 'Fantasy', 'Harem', 'Seinen']"
I Do Livestreams in Another World,5,1,Ongoing,298,"['Comedy', 'Fantasy']"
Hero X Demon Queen,2.7,460,Ongoing,23217,"['Action', 'Fantasy', 'Supernatural']"
The House Without Time,2.7,109,Ongoing,11130,"['Action', 'Fantasy', 'Manhwa']"
King of the Eternal Night,1.8,3,Ongoing,5977,"['Action', 'Drama', 'Fantasy', 'Manhua', 'Martial Arts']"
Days,2,3,Ongoing,4626,"['Comedy', 'Drama', 'School Life', 'Shounen', 'Slice of Life', 'Sports', 'Manga']"
The Strongest Sect of All Times,2.7,511,Ongoing,24484,"['Action', 'Comedy', 'Fantasy', 'Manhua', 'Adventure']"
That Time I Got Reincarnated With Talent ~I’ll Work Hard Even if I Go to Another World~,2.8,201,Ongoing,10532,"['Action', 'Comedy', 'Fantasy', 'Harem', 'Adventure', 'Isekai']"
Shi To Kanojo To Boku Yukari,2.3,3,Ongoing,1360,"['Drama', 'Horror', 'Josei', 'Mystery', 'Romance', 'School Life', 'Supernatural']"
Ominous Liar,2.4,10,Ongoing,2026,"['Action', 'Adult', 'Comedy', 'Fantasy', 'School Life', 'Shounen', 'Supernatural']"
Live Dungeon,2.1,73,Ongoing,12887,"['Fantasy', 'Manga', 'Seinen']"
My System’s Notification Is Weird,2.3,9,Ongoing,1738,"['Action', 'Manhua', 'Adventure']"
Mushoku no Tensei - Eris Gaiden,1.9,6,Ongoing,3981,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Martial Arts', 'Adventure', 'Isekai']"
Star Slashing Swordsman,2.8,2,Ongoing,3351,"['Action', 'Fantasy', 'Shounen', 'Adventure']"
Lost in the Wrong World,5,1,Ongoing,1757,"['Action', 'Fantasy', 'Horror']"
Tengen Hero Wars,1.9,4,Ongoing,2595,"['Action', 'Historical', 'Seinen']"
Wedding Impossible,2,4,Ongoing,779,"['Comedy', 'Josei', 'Romance']"
Tokyo Ghoul,2.4,8,Ongoing,3403,"['Action', 'Adult', 'Comedy', 'Doujinshi', 'Drama', 'Fantasy', 'Horror', 'Mystery', 'Psychological', 'Seinen', 'Supernatural', 'Tragedy', 'Adventure', 'Manga']"
Dungeon House,2.4,92,Ongoing,24613,"['Manhwa', 'Action', 'Adventure']"
"I Like Takachiho Honoka-senpai SO, SO MUCH That I Can’t Help Myself!",5,1,Ongoing,4352,"['Comedy', 'Ecchi', 'Romance', 'Slice of Life']"
My Elite Senior Dame Knight Only Acts Cute to Me,2.4,60,Ongoing,15377,"['Comedy', 'Manga', 'Shounen']"
The Time of Rebirth,2.3,117,Ongoing,50664,"['Action', 'Fantasy', 'Harem', 'Manhua', 'Martial Arts']"
Jungle Juice,2.7,509,Ongoing,37387,"['Action', 'Fantasy', 'Horror', 'Manhwa', 'Supernatural']"
BlackSun,2.6,191,Ongoing,24054,"['Action', 'Fantasy', 'Manhwa', 'Adventure']"
Hell’s Developer,3,11,Ongoing,2831,"['Action', 'Fantasy', 'Horror', 'Manhua', 'Supernatural']"
Tenkosaki: The Neat and Pretty Girl at My New School Is a Childhood Friend of Mine Who I Thought Was a Bo,2.5,62,Ongoing,9211,"['Comedy', 'School Life', 'Slice of Life']"
Ruling a Planet,5,2,Ongoing,2778,['Manhua']
Ice Lamp - The Chronicles of Kira,1.8,59,Ongoing,12890,"['Drama', 'Fantasy', 'Gender Bender', 'Historical', 'Manhwa', 'Romance', 'Shoujo', 'Webtoon', 'Adventure']"
Temptation of Shiro Gal & Kuro Gal,3.2,8,Ongoing,7742,"['Comedy', 'Romance', 'School Life', 'Shounen', 'Slice of Life']"
An Oldman In Counterworld.,2.1,11,Ongoing,1127,"['Action', 'Fantasy', 'Manga']"
Our Resident Exorcist,2,24,Ongoing,7937,"['Action', 'Drama', 'Fantasy', 'Horror', 'Manhua', 'Shounen', 'Supernatural']"
The Useless Tamer Will Turn into the Top Unconsciously by My Previous Life Knowledge,2.6,130,Ongoing,33680,"['Action', 'Comedy', 'Fantasy', 'Manga']"
Isekai Izakaya “Gen”,2.5,25,Ongoing,6528,"['Cooking', 'Fantasy', 'Slice of Life', 'Adventure', 'Isekai']"
I Took Over the Demonic Sect Master,2.6,161,Ongoing,6165,"['Action', 'Comedy', 'Fantasy', 'Mystery', 'Manhua']"
Sasensareta Munou Ouji wa Jitsuryoku wo Kakushitai,2.3,131,Ongoing,8266,"['Action', 'Comedy', 'Fantasy', 'Romance', 'Adventure', 'Isekai']"
The Game That I Came From,2.5,345,Ongoing,69941,"['Action', 'Fantasy', 'Manhua']"
Lit The Supreme Being,3,33,Ongoing,19739,"['Action', 'Fantasy', 'Manhua', 'Martial Arts']"
You and Tree,5,1,Ongoing,314,"['Fantasy', 'Tragedy']"
Uwa Youjo Tsuyoi,1.5,1,Ongoing,2917,"['Action', 'Fantasy', 'Horror', 'Sci-fi', 'Supernatural']"
