title,rating,status,type,chapter,release
Solo Leveling,10,Completed,Manhwa,200 - Side Story 21 { THE END },"March 3, 2021"
Kill The Dragon,9.5,Ongoing,Manhwa,111,"April 28, 2022"
Legendary Youngest Son of the Marquis House,8,Dropped,Manhwa,92,"March 12, 2022"
Damn Reincarnation,9.9,Ongoing,Manhwa,81 {S2 END},"June 22, 2022"
Heavenly Sword’s Grand Saga,9.8,Ongoing,Manhwa,40 - S1 END,"June 30, 2022"
Life of a Magic Academy Mage,9.7,Ongoing,Manhwa,94,"November 30, 2022"
Dragon-Devouring Mage,9.7,Ongoing,Manhwa,57,"August 11, 2023"
Nano Machine,9.9,Ongoing,Manhwa,208 - 71. Trinity (2),"February 18, 2023"
The Heavenly Demon’s Descendant,8.9,Ongoing,Manhwa,37,"October 13, 2023"
The Reincarnated Assassin is a Genius Swordsman,9.8,Ongoing,Manhwa,37 {S1 END},"August 31, 2023"
Star-Embracing Swordmaster,9.7,Ongoing,Manhwa,42,"September 19, 2023"
I Obtained a Mythic Item,9.8,Ongoing,Manhwa,105,"June 12, 2022"
Gods’ Gambit,9.5,Ongoing,Manhwa,42,"October 22, 2023"
Relife Player,9.7,Ongoing,Manhwa,65 - S2 End -,"December 15, 2022"
For My Forsaken Beloved,9.2,Dropped,Manhwa,9,"May 21, 2022"
The Return of the Prodigious Swordmaster,5,Dropped,Manhwa,20,"March 29, 2023"
The Regressed Demon Lord is Kind,9.6,Ongoing,Manhwa,33,"February 10, 2024"
I Am the Fated Villain,9.9,Ongoing,Manhua,156,"November 23, 2021"
Drug-Eating Genius Mage,9.8,Ongoing,Manhwa,48 - S1 END,"February 28, 2023"
Genius Martial Arts Trainer,9.4,Ongoing,Manhwa,9,"May 4, 2024"
Never Die Extra,9.8,Completed,Manhwa,60 - The End -,"September 30, 2022"
Warrior High School – Dungeon Raid Department,9.9,Ongoing,Manhwa,45 - S1 END,"October 2, 2022"
Duke Pendragon,9.9,Ongoing,Manhwa,116,"December 22, 2021"
The Constellation That Returned From Hell,9.4,Ongoing,Manhwa,157,"April 7, 2021"
Your Talent is Mine,9.5,Ongoing,Manhua,77,"July 5, 2021"
Murim Login,9.9,Ongoing,Manhwa,185 - {S2-END},"April 22, 2022"
My Healing Game,9.2,Dropped,Manhua,12,"August 19, 2022"
The Max Level Hero has Returned!,9.7,Ongoing,Manhwa,164,"October 26, 2020"
